TrialNumber,TargetFeedback,TargetFeedforward,TargetTotalInfo
0,0.07370052614533397,1.9787865052583875,2.0524870314037216
1,0.11694573718965039,2.7147953443447914,2.831741081534442
2,0.11469429827086357,1.813961623757359,1.9286559220282227
3,0.1435738761543925,1.9011571799718818,2.0447310561262744
4,0.13355325157485654,1.814760711928657,1.9483139635035136
5,0.10777112902314245,1.2595925379518125,1.367363666974955
6,0.10985720790708703,2.4612271690591507,2.5710843769662377
7,0.10680819142141003,2.624181118821885,2.7309893102432947
8,0.06465763678070711,2.4338583516512937,2.498515988432001
9,0.13404814354163747,1.7362064079876542,1.8702545515292917
10,0.06502659032521246,2.154251778378337,2.219278368703549
11,0.16057705133138622,1.812664417764431,1.9732414690958173
12,0.09112652484575716,1.2731856526580216,1.3643121775037788
13,0.09694894363566865,3.1815976038100127,3.278546547445681
14,0.09731915724919783,3.0978753288384815,3.1951944860876793
15,0.08735211963674022,3.341598559492939,3.428950679129679
16,0.06888193224954718,1.65132608158526,1.720208013834807
17,0.07506134108676471,2.6213734146198555,2.6964347557066204
18,0.0627301772595849,2.5067715710398724,2.5695017482994573
19,0.14062876091739235,1.7271453962251766,1.867774157142569
20,0.16551391732499948,1.9871675791752732,2.1526814965002727
21,0.1421664466306869,1.8693249365061642,2.011491383136851
22,0.07852499237786595,1.388452316380098,1.4669773087579638
23,0.05969142159219082,1.6165693067699678,1.6762607283621587
24,0.06741250262843548,2.515467548196114,2.5828800508245493
25,0.0675919910861044,1.62862169731831,1.6962136884044146
26,0.1806463139352571,1.654355758804524,1.835002072739781
27,0.11759337977813039,2.721360816152585,2.8389541959307154
28,0.07944024745482471,1.484300964881374,1.563741212336199
29,0.1290856801014474,2.3411920560501094,2.470277736151557
30,0.09974853650835423,3.0125879062107934,3.1123364427191476
31,0.11761712066472302,2.6665367922404806,2.7841539129052038
32,0.12068628539463859,2.538095956601846,2.6587822419964846
33,0.09219916284858216,3.0889619782866036,3.1811611411351857
34,0.05754050140383743,1.5655091360161695,1.623049637420007
35,0.10125648871166365,2.8494752105121766,2.9507316992238404
36,0.11325203434995375,2.3716073628831946,2.4848593972331483
37,0.11292456202353206,2.6021371282969157,2.715061690320448
38,0.1356090696355013,1.5739237231151089,1.70953279275061
39,0.13130604471409438,2.818578318829389,2.9498843635434837
40,0.11739687468973702,2.717506487396961,2.834903362086698
41,0.09535543689906245,3.0752216987727783,3.1705771356718406
42,0.06089274507196261,2.747520365360059,2.8084131104320216
43,0.09851021426096368,3.2057268967147414,3.304237110975705
44,0.08621594200556418,2.2794960632456496,2.365712005251214
45,0.06713398707816488,2.5244359838199752,2.5915699708981403
46,0.04131097573671027,1.4069890640171299,1.4483000397538401
47,0.07216787116191897,2.728005081803474,2.8001729529653927
48,0.10782498529691313,2.555213866306198,2.6630388516031114
49,0.06974388699744603,2.3330768957104677,2.4028207827079138
50,0.10857406709895732,2.6784876912687383,2.7870617583676958
51,0.11628220695020801,3.0652612609565195,3.1815434679067276
52,0.1188462325500307,2.5038258228415353,2.622672055391566
53,0.06650471915492731,1.7029188213031845,1.7694235404581118
54,0.14931002054768222,2.02674700174684,2.176057022294522
55,0.09316891487504225,3.314178882946075,3.4073477978211173
56,0.14171016609527887,1.7114148511570044,1.8531250172522833
57,0.0809480768596022,2.4978165588109875,2.5787646356705896
58,0.08529071214157977,1.5889044890598039,1.6741952012013837
59,0.05625707550375245,1.6273933500629476,1.6836504255667
