cursor_ 1,cursor_ 2,cursor_ 3,cursor_ 4,cursor_ 5,cursor_ 6,cursor_ 7,cursor_ 8,cursor_ 9,cursor_10,cursor_11,cursor_12,cursor_13,cursor_14,cursor_15,cursor_16,cursor_17,cursor_18,cursor_19,cursor_20,cursor_21,cursor_22,cursor_23,cursor_24,cursor_25,cursor_26,cursor_27,cursor_28,cursor_29,cursor_30,colour_ 1,colour_ 2,colour_ 3,colour_ 4,colour_ 5,colour_ 6,colour_ 7,colour_ 8,colour_ 9,colour_10,colour_11,colour_12,colour_13,colour_14,colour_15,colour_16,colour_17,colour_18,colour_19,colour_20,colour_21,colour_22,colour_23,colour_24,colour_25,colour_26,colour_27,colour_28,colour_29,colour_30,target_ 1,target_ 2,target_ 3,target_ 4,target_ 5,target_ 6,target_ 7,target_ 8,target_ 9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24,target_25,target_26,target_27,target_28,target_29,target_30
0,0,0,0,0,NaN,0,0,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.073669246267111,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.0230657703967311,0.00447193507691731,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00917923515788288,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,NaN,0,0,0,NaN,0.00447193507691731,0,0.00447193507691731,0.00447193507691731,0.0875557815059595,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.0322450055546139,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00447193507691731,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926,0.00209058127799926
0,0,0,0,0,NaN,0,0,0,NaN,0,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.0967350166638421,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.0414242407124968,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00447193507691731,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739,0.00833408314399739
0,0,0,0,0,NaN,0,0,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.110621551902691,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.0553107759513453,0.00447193507691731,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00447193507691731,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129,0.0186462971205129
0,0,0,0,0,NaN,0,0,0,NaN,0,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.14757385753827,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.073669246267111,0.00447193507691731,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00917923515788288,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072,0.0328885899102072
0,0,0,0,0,NaN,0,0,0,NaN,0,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.202884633489616,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.0783765463480766,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00447193507691731,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508,0.050870437802508
0,0,0,0.00447193507691731,0,NaN,0,0,0,NaN,0,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.244544239206161,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.0875557815059595,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00447193507691731,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047,0.0723529019612047
0,0,0,0.00917923515788288,0,NaN,0,0,0,NaN,0,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.295147715076541,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.101442316744808,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00447193507691731,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228,0.0970529735617228
0,0,0,0.00917923515788288,0,NaN,0,0,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.295147715076541,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.115328851983656,0.00447193507691731,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00447193507691731,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258,0.124648700051258
0,0.00447193507691731,0,0.0138865352388484,0,NaN,0,0,0,NaN,0,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.309034250315389,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.138394622380387,0,NaN,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00447193507691731,0.00917923515788288,0.00447193507691731,0.00917923515788288,0.00447193507691731,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289,0.154784987982289
